id,rep,stages,scens,duality_handler,forward_pass,backward_pass,sampling_scheme,fpass_type,mipgap,M,total_time,backward_pass_time,iterations,lower_bound,ci_low,ci_high,gap,std_cuts,nonstd_cuts,delta,type1_prob,type2_prob,aggregation_timestamp
54,1,10,3,Lagrangian,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,38.15754294395447,29.993,17,23812.78533078502,23841.0207901563,24030.78604968754,0.907172651164087,0,209,0.01,1.28,1.28,2025-11-11T09:59:52.757
54,1,10,3,Lagrangian,DefaultMultiForwardPass,Angulo,InSampleMonteCarloMultiple,1,0.0001,2,22.00394916534424,14.023,17,23645.658049197296,23822.561026871754,24012.74226843593,1.5287059475966447,206,27,0.01,1.28,1.28,2025-11-11T09:59:52.757
54,1,10,3,Laporte,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,3604.5238420963287,2358.348,1009,4690.307461708309,30281.35911289612,30546.841632561678,84.64552401807512,0,15030,0.01,1.28,1.28,2025-11-11T09:59:52.757
54,1,10,3,Laporte,DefaultMultiForwardPass,Angulo,InSampleMonteCarloMultiple,1,0.0001,2,13.445698976516724,4.35,12,23599.8867262467,23878.845739426863,24070.26336412289,1.954181517503851,166,7,0.01,1.28,1.28,2025-11-11T09:59:52.757
54,1,10,3,Benders,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,13.285018920898438,4.003,17,23561.405840698775,23839.78219914143,24027.096107893565,1.9381878904700345,198,0,0.01,1.28,1.28,2025-11-11T09:59:52.757
56,1,10,5,Lagrangian,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,46.54539895057678,37.833,14,26347.115314102695,26399.144451357915,26621.495987700004,1.03067338411065,0,187,0.01,1.28,1.28,2025-11-11T09:59:52.757
56,1,10,5,Lagrangian,DefaultMultiForwardPass,Angulo,InSampleMonteCarloMultiple,1,0.0001,2,22.757255792617798,13.812,14,26246.20021551226,26399.918286076878,26622.650765013364,1.414023542673755,182,22,0.01,1.28,1.28,2025-11-11T09:59:52.757
56,1,10,5,Laporte,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,3618.9375450611115,2645.305,856,4706.159497582779,31904.893537224743,32168.936069444346,85.37048447165486,0,13721,0.01,1.28,1.28,2025-11-11T09:59:52.757
56,1,10,5,Laporte,DefaultMultiForwardPass,Angulo,InSampleMonteCarloMultiple,1,0.0001,2,217.0876750946045,159.106,110,26305.798412634766,26585.02323491014,26810.721356499842,1.883287425023593,791,926,0.01,1.28,1.28,2025-11-11T09:59:52.757
56,1,10,5,Benders,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,13.51047396659851,4.269,14,26037.281611602233,26382.44629558238,26605.975103870394,2.1374653251683786,189,0,0.01,1.28,1.28,2025-11-11T09:59:52.757
57,1,10,7,Lagrangian,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,152.12030482292175,141.429,37,25005.58923149504,24726.811301871243,25044.24614532718,0.15435447171306435,0,457,0.01,1.28,1.28,2025-11-11T09:59:52.757
57,1,10,7,Lagrangian,DefaultMultiForwardPass,Angulo,InSampleMonteCarloMultiple,1,0.0001,2,63.27349400520325,50.092,37,24910.98170141092,24745.900744640032,25059.613517344147,0.5931129617396353,434,118,0.01,1.28,1.28,2025-11-11T09:59:52.757
57,1,10,7,Laporte,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,3605.524154186249,2916.406,784,4407.378023088766,30445.012162498744,30835.90324334344,85.70699230598933,0,12714,0.01,1.28,1.28,2025-11-11T09:59:52.757
57,1,10,7,Laporte,DefaultMultiForwardPass,Angulo,InSampleMonteCarloMultiple,1,0.0001,2,51.192439794540405,29.236,52,24890.130022209178,24790.123074169634,25107.945888502698,0.8675176665617292,640,159,0.01,1.28,1.28,2025-11-11T09:59:52.757
