id,rep,stages,scens,duality_handler,forward_pass,backward_pass,sampling_scheme,fpass_type,mipgap,M,total_time,backward_pass_time,iterations,lower_bound,ci_low,ci_high,gap,std_cuts,nonstd_cuts,delta,type1_prob,type2_prob,seed,lagrangian_dominant,integer_lshaped_dominant,incomparable,aggregation_timestamp
60,1,10,10,Lagrangian,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,76.02761101722717,68.062,13,22524.419659086285,22610.393101115962,22923.643601876578,1.7415379061189553,0,201,0.01,1.28,1.28,1001,0,0,0,2025-11-12T18:43:50.626
60,1,10,10,Lagrangian,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,3609.6346430778503,3536.981,216,22599.331527972172,22550.680730967048,22866.839582412453,1.1698514500710846,0,1903,0.01,1.28,1.28,2001,0,0,0,2025-11-12T18:43:50.626
60,1,10,10,Lagrangian,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,598.8603389263153,581.073,64,22591.801828508527,22524.623078590957,22842.69758068554,1.0983630601893377,0,757,0.01,1.28,1.28,3001,0,0,0,2025-11-12T18:43:50.626
60,1,10,10,Lagrangian,DefaultMultiForwardPass,Angulo,InSampleMonteCarloMultiple,1,0.0001,2,2224.72762298584,2165.286,188,22588.12361597178,22573.742610803438,22889.454384608525,1.3164611247324756,775,1268,0.01,1.28,1.28,1001,0,0,0,2025-11-12T18:43:50.626
60,1,10,10,Lagrangian,DefaultMultiForwardPass,Angulo,InSampleMonteCarloMultiple,1,0.0001,2,2197.8489241600037,2135.752,189,22597.332418851864,22548.87669352925,22865.6963741699,1.173653104312153,889,1196,0.01,1.28,1.28,2001,0,0,0,2025-11-12T18:43:50.626
60,1,10,10,Lagrangian,DefaultMultiForwardPass,Angulo,InSampleMonteCarloMultiple,1,0.0001,2,62.764045000076294,49.704,38,22444.182998654418,22531.193399879234,22845.53002145854,1.7567857800941444,501,86,0.01,1.28,1.28,3001,0,0,0,2025-11-12T18:43:50.626
60,1,10,10,Laporte,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,3605.6477568149567,3080.931,664,4422.215422518753,25993.76112272584,26382.08053998024,83.23780637460646,0,10823,0.01,1.28,1.28,1001,0,0,0,2025-11-12T18:43:50.626
60,1,10,10,Laporte,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,3602.451812982559,3077.882,657,4410.895922518754,26504.280108131097,26893.90575673571,83.59890169015698,0,10675,0.01,1.28,1.28,2001,0,0,0,2025-11-12T18:43:50.626
60,1,10,10,Laporte,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,3608.4729640483856,3066.229,581,4293.16239003878,25796.86097906461,26184.533794166386,83.60420535348524,0,9472,0.01,1.28,1.28,3001,0,0,0,2025-11-12T18:43:50.626
60,1,10,10,Laporte,DefaultMultiForwardPass,Angulo,InSampleMonteCarloMultiple,1,0.0001,2,161.7938060760498,116.788,85,22428.07149149265,22695.983812360693,23008.987297698197,2.524734351362179,963,348,0.01,1.28,1.28,1001,0,0,0,2025-11-12T18:43:50.626
60,1,10,10,Laporte,DefaultMultiForwardPass,Angulo,InSampleMonteCarloMultiple,1,0.0001,2,1976.39825797081,1646.88,298,22566.400395788078,22783.981813415405,23096.855639220645,2.29665566481614,2374,2019,0.01,1.28,1.28,2001,0,0,0,2025-11-12T18:43:50.626
